Date,Open,High,Low,Close,Adj Close,Volume
8/16/2021,201.350006,202.869995,194.529999,199.5,199.364288,21087600
8/17/2021,196.850006,197.699997,192.669998,194.580002,194.447647,20458500
8/18/2021,195,196.339996,190,190.399994,190.270462,28591300
8/19/2021,194.940002,204.949997,187.619995,197.979996,197.845322,76655500
8/20/2021,199.910004,208.649994,199.330002,208.160004,208.018402,67574100
8/23/2021,209.710007,219.970001,209.5,219.580002,219.430634,57580700
8/24/2021,217.529999,219.589996,215.350006,217.929993,217.781738,29729900
8/25/2021,217.369995,224.699997,217.220001,222.130005,221.978897,34770100
8/26/2021,222,223.399994,217.899994,220.679993,220.529861,23794000
8/27/2021,221.839996,227.220001,221.669998,226.360001,226.206009,30472200
8/30/2021,228.300003,230.429993,225.509995,226.880005,226.725662,26258000
8/31/2021,226.949997,226.949997,221.199997,223.850006,223.737167,25985000
9/1/2021,224.850006,226.970001,223.570007,224.410004,224.29689,20176700
9/2/2021,225.179993,225.929993,222.949997,223.960007,223.847122,18783400
9/3/2021,223.25,229.860001,222,228.429993,228.314865,28053200
9/7/2021,228.330002,228.990005,225.220001,226.619995,226.505768,19810700
9/8/2021,225.130005,226.100006,219.770004,223.389999,223.277405,25443400
9/9/2021,223.119995,225.380005,221.309998,221.770004,221.658218,19685600
9/10/2021,223.479996,226.259995,222.699997,224.779999,224.666702,24837600
9/13/2021,226.839996,229.639999,218.580002,221.520004,221.408356,29750000
9/14/2021,222.75,224.100006,220.860001,222.419998,222.307892,19975500
9/15/2021,223.089996,223.669998,219.660004,223.410004,223.297394,16653800
9/16/2021,221.830002,222.770004,219.270004,222.419998,222.307892,15603300
9/17/2021,223,223.210007,218.300003,219,218.889603,29450300
9/20/2021,211.460007,214.330002,206.619995,211.130005,211.023575,34944000
9/21/2021,214.169998,214.25,209.5,212.460007,212.352921,20468800
9/22/2021,213.660004,219.600006,211.960007,219.410004,219.299408,26872600
9/23/2021,221.399994,225.350006,218.899994,224.820007,224.70668,24855500
9/24/2021,220.699997,221.490005,218.610001,220.809998,220.6987,21765500
9/27/2021,217.100006,217.990005,213.25,216.600006,216.490829,24521500
9/28/2021,212.139999,214.190002,206.509995,206.990005,206.885681,34306900
9/29/2021,209.399994,210.169998,204.669998,205.169998,205.066574,21839400
9/30/2021,207.679993,210.660004,206.880005,207.160004,207.055573,22100900
10/1/2021,207.5,208.589996,202.029999,207.419998,207.315445,24097800
10/4/2021,205.039993,205.419998,195.550003,197.320007,197.220551,34563500
10/5/2021,199.5,206.479996,198.539993,204.509995,204.406906,27928200
10/6/2021,201.199997,207.199997,200.800003,207,206.89566,29720200
10/7/2021,210.919998,213.220001,209.720001,210.75,210.643768,25691900
10/8/2021,211.009995,212.059998,207.75,208.309998,208.204987,15125800
10/11/2021,205.75,210.630005,205.110001,206.949997,206.845688,16338800
10/12/2021,208.279999,210.570007,205.279999,206.710007,206.60582,16213400
10/13/2021,209.179993,209.899994,207.130005,209.389999,209.284439,18065200
10/14/2021,212.880005,217.550003,211.220001,217.460007,217.350403,24358900
10/15/2021,218.100006,219.309998,216.619995,218.619995,218.509796,22699400
10/18/2021,217.490005,222.910004,216.440002,222.220001,222.107986,18949400
10/19/2021,222.759995,223.789993,220.369995,222.899994,222.787643,16147300
10/20/2021,223.050003,224.330002,219.820007,221.029999,220.918579,14627600
10/21/2021,220.970001,227.110001,220.830002,226.919998,226.805634,18759000
10/22/2021,228.229996,231.300003,225.610001,227.259995,227.145447,24938400
10/25/2021,229.729996,233.550003,227.699997,231.660004,231.543243,23023500
10/26/2021,239.889999,252.589996,239.240005,247.169998,247.04541,48589800
10/27/2021,244.740005,250.899994,242.820007,244.509995,244.386749,24599000
10/28/2021,248.779999,249.5,245.229996,249.410004,249.284286,23420400
10/29/2021,250.009995,257.089996,250,255.669998,255.541138,29250300
11/1/2021,256.48999,258.940002,252.270004,258.269989,258.139801,26574000
11/2/2021,258.220001,266.779999,258,264.01001,263.876923,29411200
11/3/2021,266.700012,267.839996,262.350006,265.980011,265.845917,23991000
11/4/2021,272.290009,313.649994,271.179993,298.01001,297.859802,115363100
11/5/2021,301.869995,314,294.100006,297.519989,297.370026,85126000
11/8/2021,301.48999,311,299.070007,308.040009,307.884735,50310100
11/9/2021,322.820007,323.100006,299.640015,306.570007,306.415466,64674600
11/10/2021,293.559998,308.5,287.779999,294.589996,294.441498,63620600
11/11/2021,304.679993,305.899994,297.769989,303.899994,303.746826,33217200
11/12/2021,300.100006,306.799988,296.299988,303.899994,303.746826,41305400
11/15/2021,305.519989,306.440002,292.470001,300.25,300.098663,38490900
11/16/2021,297.589996,303.899994,297.059998,302.029999,301.877777,26448400
11/17/2021,304.179993,305.089996,288,292.609985,292.462494,42850800
11/18/2021,323.670013,327.600006,313.209991,316.75,316.590363,78171100
11/19/2021,322.429993,330.880005,319.049988,329.850006,329.683746,53386700
11/22/2021,335.170013,346.470001,319,319.559998,319.398895,75433500
11/23/2021,315.350006,323.600006,308.799988,317.459991,317.299988,53216300
11/24/2021,314.609985,328.549988,309.279999,326.73999,326.575287,43516200
11/26/2021,326,327.100006,313.5,315.029999,314.871185,28306900
11/29/2021,323.660004,334.119995,320.359985,333.76001,333.591766,45496400
11/30/2021,331.690002,333.529999,318.640015,326.76001,326.595306,62206600
12/1/2021,332.190002,332.890015,313.799988,314.350006,314.230011,48436800
12/2/2021,312.140015,324.779999,310.25,321.26001,321.13739,47289000
12/3/2021,320,321.290009,301.299988,306.929993,306.812866,54432500
12/6/2021,298.799988,302.410004,280.380005,300.369995,300.255341,65893800
12/7/2021,309.570007,324.48999,306.51001,324.269989,324.14624,59305300
12/8/2021,319.98999,322.899994,314.209991,318.26001,318.138519,47555100
12/9/2021,317.339996,322.049988,304.279999,304.899994,304.78363,48850700
12/10/2021,311.5,313.049988,298.609985,301.980011,301.864746,48882500
